JSV_Samam_Granular_Table.csv 3.0 2026-02-19 11:17:31
Global_Rik_Num,Patha_Name,Khanda,Rik_ID,Rik_Text,Rik_Metadata,Global_Samam_Num,Arsheyam_Num,Patha_Num,Samam_Num,Arsheyam_Name,Saman_Metadata
28,आग्नेयपाठः,तृतीय खण्डः,9,तन्त्वा(1)गोपा(2)वा(1)नो गिरा । जा(2)नि(1)ष्ठदग्ने अङ्गिरः । सा(2)पा(1)वकाश्रू(1)धीहा(2)व(1)म् ॥ ९ ॥,।। गोपवन अत्रयेः गायत्र्यग्निः।।,48,33,1,14,॥गोपवनञ्च॥,।। गोपवनो गायत्र्यग्निः ।।
29,आग्नेयपाठः,तृतीय खण्डः,10,पा(2)रिवा(2)जपतीः काविः(2) । अ(2)ग्नि(2)ऋ(2)हव्या(2)न्या(1)क्रमीत् । दध(2)द्रत्ना(2)नीदाशू(2)षे(2) ॥ १० ॥ ऊदूत्यं(2) जाता(2)वे(1)दसम् । दे(2) वं(2)वाहन्तीं केता(2)वाः(1) । दृशे(4)वि(4)श्वा(1)यासूर्यम् ॥ ११ ॥,।। वामदेवो गौतमः गायत्र्यग्निः।। ।। प्रस्कण्वः गायत्र्यग्निः।।,49,34,1,15,॥सूर्यसामनीद्वे॥,।। सूर्यवर्चा वा वसुरोचिर्वा गायत्र्यग्निः ।। ।। सूर्यो गायत्री सूर्यः ।।
29,आग्नेयपाठः,तृतीय खण्डः,10,पा(2)रिवा(2)जपतीः काविः(2) । अ(2)ग्नि(2)ऋ(2)हव्या(2)न्या(1)क्रमीत् । दध(2)द्रत्ना(2)नीदाशू(2)षे(2) ॥ १० ॥ ऊदूत्यं(2) जाता(2)वे(1)दसम् । दे(2) वं(2)वाहन्तीं केता(2)वाः(1) । दृशे(4)वि(4)श्वा(1)यासूर्यम् ॥ ११ ॥,।। वामदेवो गौतमः गायत्र्यग्निः।। ।। प्रस्कण्वः गायत्र्यग्निः।।,50,34,1,16,॥सूर्यसामनीद्वे॥,।। सूर्यवर्चा वा वसुरोचिर्वा गायत्र्यग्निः ।। ।। सूर्यो गायत्री सूर्यः ।।
30,आग्नेयपाठः,तृतीय खण्डः,12,का(2)वी(2)माग्नी(2)मू(2)पा(1)स्तुहि । स(2)त्या(2)धर्मा(1)णमाध्वारे । दे(2)वा(2)मा(1)मीवाचा(2)ता(1)नम् ॥ १२ ॥,।। मेधातिथिः काण्वः गायत्र्यग्निः।।,51,35,1,17,॥कावञ्च॥,।। कविर्वसुरोचिर्गायत्र्यग्निः ।।
31,आग्नेयपाठः,तृतीय खण्डः,13,श(3)न्नो(1) देवी(2)राभीष्टा(1)ये।श(2)न्नो(1) भूवन्तूपीता(2)ये(1) । श(2)य्योराभि(2)स्रावन्तूनः ॥ १३ ॥,।। सिन्धुद्वीप आम्बरीषः त्रित आत्यो वा गायत्र्यग्निः।।,52,36,1,18,॥वसुरोचिषस्सौर्यवर्चस्यसामनीद्वे॥,।। कापीतं वा सुमन्दं वा। पारावतो (पारावतिर्वा) गायत्र्यग्निः ।।
31,आग्नेयपाठः,तृतीय खण्डः,13,श(3)न्नो(1) देवी(2)राभीष्टा(1)ये।श(2)न्नो(1) भूवन्तूपीता(2)ये(1) । श(2)य्योराभि(2)स्रावन्तूनः ॥ १३ ॥,।। सिन्धुद्वीप आम्बरीषः त्रित आत्यो वा गायत्र्यग्निः।।,53,36,1,19,॥वसुरोचिषस्सौर्यवर्चस्यसामनीद्वे॥,।। कापीतं वा सुमन्दं वा। पारावतो (पारावतिर्वा) गायत्र्यग्निः ।।
32,आग्नेयपाठः,तृतीय खण्डः,14,कस्या नू(2)नम्पारी(1)णसि । धीयो(1)जिन्वसिसत्पते । गो(2)षा(2)तायस्यातागी(2)राः(2) ॥ १४ ॥,।। उशना काव्यो गायत्र्यग्निः।।,54,37,1,20,॥गौराङ्गिरसस्यसामनीद्वे॥,।। द्वयोर्गोतमो (गोराङ्गिरसो वा) गायत्र्यग्निः ।।
32,आग्नेयपाठः,तृतीय खण्डः,14,कस्या नू(2)नम्पारी(1)णसि । धीयो(1)जिन्वसिसत्पते । गो(2)षा(2)तायस्यातागी(2)राः(2) ॥ १४ ॥,।। उशना काव्यो गायत्र्यग्निः।।,55,37,1,21,॥गौराङ्गिरसस्यसामनीद्वे॥,।। द्वयोर्गोतमो (गोराङ्गिरसो वा) गायत्र्यग्निः ।।
33,आग्नेयपाठः,चतुर्थ खण्डः,1,यज्ञा(2)याज्ञा(2)वो अग्ना(2)ये(1) । गी(2)रा(2)गी(1)राचाद(2)क्षासे । प्र(3)प्रा(2)वाया(2)मामृ(4)त(2)ञ्जा(1)तावेदसम् । प्रीयम्मित्र(2) न्ना(2)शंसिषम् ॥ १ ॥,।। शय्युबार्हस्पत्यः बृहत्यग्निः।।,56,38,1,1,॥भारद्वाजस्यौपहवौद्वौ॥,।। द्वयोर्भरद्वाजो बृहत्यग्निः ।।
33,आग्नेयपाठः,चतुर्थ खण्डः,1,यज्ञा(2)याज्ञा(2)वो अग्ना(2)ये(1) । गी(2)रा(2)गी(1)राचाद(2)क्षासे । प्र(3)प्रा(2)वाया(2)मामृ(4)त(2)ञ्जा(1)तावेदसम् । प्रीयम्मित्र(2) न्ना(2)शंसिषम् ॥ १ ॥,।। शय्युबार्हस्पत्यः बृहत्यग्निः।।,57,38,1,2,॥भारद्वाजस्यौपहवौद्वौ॥,।। द्वयोर्भरद्वाजो बृहत्यग्निः ।।
33,आग्नेयपाठः,चतुर्थ खण्डः,1,,।। शय्युबार्हस्पत्यः बृहत्यग्निः।।,58,39,1,3,॥श्रुष्टीगवम्॥,।। श्नुष्टीगुर्वृहत्यग्निः ।।
33,आग्नेयपाठः,चतुर्थ खण्डः,1,,।। शय्युबार्हस्पत्यः बृहत्यग्निः।।,59,40,1,4,॥अग्नेश्चयज्ञायज्ञीयम्॥,।। (भरद्वाजः) बृहत्यग्निः ।।
34,आग्नेयपाठः,चतुर्थ खण्डः,2,पाहिनोअग्नाएका(1)या । पा(2)ह्यूता द्वि(2)तीया(2)या । पा(2)हीगीर्भीस्तीसृ(2)भीरूर्जां(1) पते । पाही(4)चातासृभी(1)र्वसो ॥ २ ॥,।।भगो प्रागाथः बृहत्यग्निः।।,60,41,1,5,॥कार्तवेशञ्च॥,।। कृतयशाः बृहत्यग्निः ।।
34,आग्नेयपाठः,चतुर्थ खण्डः,2,,।।भगो प्रागाथः बृहत्यग्निः।।,61,42,1,6,॥नार्मेधञ्च॥,।। नृमेधा (भरद्वाजः) बृहत्यग्निः ।।
34,आग्नेयपाठः,चतुर्थ खण्डः,2,,।।भगो प्रागाथः बृहत्यग्निः।।,62,43,1,7,॥महाकार्तवेशञ्च॥,।। कृतवेशो (भरद्वाजः) बृहत्यग्निः ।।
35,आग्नेयपाठः,चतुर्थ खण्डः,3,बृ(2)हा(2)त्भी(1)रग्नेरर्च्ची(1)भिः । शुक्रेणा(1) देवाशोची(2)षा(1) । भारा(2)द्वा(1)जेसमीधा । नो(2)या(1)विष्यारेवा(2)त्पा(1)वकदीदिहि ॥ ३ ॥,।। शय्युबार्हस्पत्यः बृहत्यग्निः।।,63,44,1,8,॥भारद्वाजस्यपृश्नीद्वे॥,।। भरद्वाजो बृहत्यग्निः ।।
35,आग्नेयपाठः,चतुर्थ खण्डः,3,बृ(2)हा(2)त्भी(1)रग्नेरर्च्ची(1)भिः । शुक्रेणा(1) देवाशोची(2)षा(1) । भारा(2)द्वा(1)जेसमीधा । नो(2)या(1)विष्यारेवा(2)त्पा(1)वकदीदिहि ॥ ३ ॥,।। शय्युबार्हस्पत्यः बृहत्यग्निः।।,64,44,1,9,॥भारद्वाजस्यपृश्नीद्वे॥,।। भरद्वाजो बृहत्यग्निः ।।
